question_id,text
5,奈良の大仏の高さは約15mです。鎌倉の大仏の高さはどれくらいに見えますか？実際に見てみましょう。
15,鎌倉大仏のそばにある案内看板にその理由が書かれています。
25,阿弥陀大仏と釈迦大仏は「指」で見分けることが出来ます。阿弥陀仏は指を曲げて丸めています。釈迦仏は指を（ほぼ）伸ばしています。これは立像でも坐像でも同じです（例外あり）。つまり指で結んでいる印の形でどっちの仏像かが判別できます。
35,雨に耐えて咲く姿から連想される花言葉です。
45,ご本尊(観音)さまを見てみると、そのお顔に特徴があることが分かりますね。
55,鎌倉駅のそばにある「二の鳥居(参道から二番目の鳥居)」と八幡宮にある「三の鳥居(参道から三番目の鳥居)」から段葛を見てみましょう。何か違いに気が付きませんか？
65,それぞれの池にある島の数に意味がありそうです。
75,実際に本宮の楼門に掲げられた「八幡宮」の文字を見てみましょう。
85,鎌倉ならではの理由がありそうです。
95,鳩サブレーの袋をよく見てみましょう。右下にある工夫がされています。
105,ミシュランの観光版で3つ星を獲得したその景観が別名の由来となっています。
115,建長寺の入り口にある寺標（お寺の名前が彫られた石）を見てみよう。
125,ごぼう、大根、里いもなどを胡麻油で炒め、だし汁を加え、醤油や味噌で味付けした精進料理です。
135,龍は仏教を守護する八部衆(八尊の護法善神)の一つでもあり「龍神」と呼ばれているそうです。
145,「主人公の宗助は、親友・安井から内縁の妻・御米を奪い、その罪の意識からひっそりと暮らしていたが、ある日、大家の板井から安井の消息を聞いた宗助は心を乱し、鎌倉の禅寺の門をくぐる」というのがストーリーの作品です。
155,釈迦の遺骸の中でも比較的珍しいのではないでしょうか。
165,明月院のあじさいはその特徴にちなんで「姫あじさい」と呼ばれます。
175,明月院が「あじさい寺」として名が通ったのは昭和４０年代の戦後です。また、紫陽花は日陰と小雨に強く、毎年花を咲かせ、ほぼ病気も害虫も気にせず大丈夫で園芸初心者に向いていると言われています。
185,鎌倉は、三方を山、一方を海に囲まれた天然の要害であり、そのため利用できる平地が限られていたというのが背景にあるようです。
195,源頼朝が挙兵の際に、翁姿に身を変じた神霊が夢枕に立ち、平家討伐をすすめ歴史的快挙に導いたという伝説が由来のようです。
205,佐助稲荷神社では毎年春の農作業が始まる前の頃に、豊作祈願の神事が行われることに関係しているようです。
215,お守りとして売っている開運招福守の裏側にその姿が描かれています。
225,昔は女性から離婚することができなかったことから、女性の立場に立った東慶寺の縁切り寺法の存在は非常に大きかったようです。
235,いまの感覚からすると意外と少なく思えるかもしれません。
245,とても7歳とは思えない立派なお願いです。
255,鎌倉幕府の初代将軍であることを考えると意外かもしれません。