"title","body",
"鎌倉大仏","鎌倉観光のシンボルで鎌倉の仏像の中で唯一の国宝である「高徳院」の鎌倉大仏に関するクイズ",
"長谷寺","あじさいや紅葉の時期には鎌倉を代表する絶景スポットとして有名な長谷寺に関するクイズ",
"鶴岡八幡宮","鎌倉の中心に建つ神社でパワースポットとしても名高い鶴岡八幡宮に関するクイズ",
"小町通り","グルメスポットとして有名な鎌倉駅から鶴岡八幡宮へと続く小町通りのお店に関するクイズ",
"報国寺","ミシュラン三ツ星の禅寺としても有名で恋愛成就のご利益があると言われる報国寺に関するクイズ",
"建長寺","日本最古の禅寺で""ある料理""の発祥の地としても有名な建長寺に関するクイズ",
"円覚寺","夏目漱石が参禅したことでも知られ、鎌倉で唯一の国宝建造物である円覚寺に関するクイズ",
"明月院","境内に約2,000本のあじさいが植えられており「あじさい寺」として有名な明月院に関するクイズ",
"佐助稲荷神社","出世運・仕事運アップのご利益があり源頼朝の""ある伝説""でも有名な佐助稲荷神社に関するクイズ",
"銭洗弁財天宇賀福神社","「銭洗水」でお金を洗うと金運・財運がアップすると言われる銭洗弁財天宇賀福神社に関するクイズ",
"東慶寺","「駆け込み寺」や「縁切り寺」と呼ばれた女性救済のための尼寺であった東慶寺に関するクイズ",
"源頼朝の墓","平家を打ち破り鎌倉幕府の初代征夷大将軍として武家政権を確立させた源頼朝の墓に関するクイズ",